period,year,month,quarter,continentId,continentName,value,quantity
2021-01,2021,1,1,1A,ทวีปเอเชีย,181128136.0,272994.0
2021-01,2021,1,1,1C,ทวีปอเมริกาเหนือ,6777221.0,8856.0
2021-01,2021,1,1,1F,ทวีปออสเตรเลีย,3213516.0,3798.0
2021-01,2021,1,1,1B,ทวีปยุโรป,2588225.0,34145.0
2021-02,2021,2,1,1A,ทวีปเอเชีย,155363430.0,315002.0
2021-02,2021,2,1,1C,ทวีปอเมริกาเหนือ,9210152.0,38744.0
2021-02,2021,2,1,1B,ทวีปยุโรป,8105115.0,25855.0
2021-02,2021,2,1,1F,ทวีปออสเตรเลีย,1052720.0,1279.0
2021-03,2021,3,1,1A,ทวีปเอเชีย,190784040.0,372351.0
2021-03,2021,3,1,1C,ทวีปอเมริกาเหนือ,13744490.0,31623.0
2021-03,2021,3,1,1B,ทวีปยุโรป,6578543.0,39732.0
2021-03,2021,3,1,1F,ทวีปออสเตรเลีย,4833404.0,5661.0
2021-04,2021,4,2,1A,ทวีปเอเชีย,94091069.0,248253.0
2021-04,2021,4,2,1C,ทวีปอเมริกาเหนือ,9168343.0,27966.0
2021-04,2021,4,2,1B,ทวีปยุโรป,7714506.0,24064.0
2021-04,2021,4,2,1F,ทวีปออสเตรเลีย,2653728.0,3493.0
2021-05,2021,5,2,1A,ทวีปเอเชีย,120767082.0,312321.0
2021-05,2021,5,2,1C,ทวีปอเมริกาเหนือ,9165232.0,10188.0
2021-05,2021,5,2,1B,ทวีปยุโรป,4334675.0,51795.0
2021-05,2021,5,2,1F,ทวีปออสเตรเลีย,4253456.0,4997.0
2021-06,2021,6,2,1A,ทวีปเอเชีย,170241113.0,348729.0
2021-06,2021,6,2,1C,ทวีปอเมริกาเหนือ,14365715.0,42250.0
2021-06,2021,6,2,1B,ทวีปยุโรป,8994629.0,42170.0
2021-06,2021,6,2,1F,ทวีปออสเตรเลีย,3144736.0,3243.0
2021-06,2021,6,2,1E,ทวีปแอฟริกา,53334.0,311.0
2021-06,2021,6,2,1D,ทวีปอเมริกาใต้,11212.0,78.0
2021-07,2021,7,3,1A,ทวีปเอเชีย,160820952.0,289370.0
2021-07,2021,7,3,1C,ทวีปอเมริกาเหนือ,10096658.0,55246.0
2021-07,2021,7,3,1B,ทวีปยุโรป,7421790.0,56118.0
2021-07,2021,7,3,1F,ทวีปออสเตรเลีย,763474.0,1218.0
2021-07,2021,7,3,1E,ทวีปแอฟริกา,0.0,0.0
2021-07,2021,7,3,1D,ทวีปอเมริกาใต้,0.0,0.0
2021-08,2021,8,3,1A,ทวีปเอเชีย,143136872.0,260811.0
2021-08,2021,8,3,1C,ทวีปอเมริกาเหนือ,9613099.0,22857.0
2021-08,2021,8,3,1B,ทวีปยุโรป,2087197.0,2167.0
2021-08,2021,8,3,1F,ทวีปออสเตรเลีย,1146412.0,1233.0
2021-08,2021,8,3,1E,ทวีปแอฟริกา,8254.0,15.0
2021-08,2021,8,3,1D,ทวีปอเมริกาใต้,0.0,0.0
2021-09,2021,9,3,1A,ทวีปเอเชีย,226024097.0,298351.0
2021-09,2021,9,3,1C,ทวีปอเมริกาเหนือ,12740367.0,27946.0
2021-09,2021,9,3,1B,ทวีปยุโรป,7085418.0,39650.0
2021-09,2021,9,3,1F,ทวีปออสเตรเลีย,7095653.0,7083.0
2021-09,2021,9,3,1E,ทวีปแอฟริกา,0.0,0.0
2021-09,2021,9,3,1D,ทวีปอเมริกาใต้,0.0,0.0
2021-10,2021,10,4,1A,ทวีปเอเชีย,269477881.0,333997.0
2021-10,2021,10,4,1C,ทวีปอเมริกาเหนือ,18975269.0,33604.0
2021-10,2021,10,4,1B,ทวีปยุโรป,7847356.0,55287.0
2021-10,2021,10,4,1F,ทวีปออสเตรเลีย,4465506.0,4348.0
2021-10,2021,10,4,1E,ทวีปแอฟริกา,0.0,0.0
2021-10,2021,10,4,1D,ทวีปอเมริกาใต้,0.0,0.0
2021-11,2021,11,4,1A,ทวีปเอเชีย,257325496.0,314898.0
2021-11,2021,11,4,1C,ทวีปอเมริกาเหนือ,15029611.0,27441.0
2021-11,2021,11,4,1B,ทวีปยุโรป,4274231.0,4294.0
2021-11,2021,11,4,1F,ทวีปออสเตรเลีย,3108360.0,3587.0
2021-11,2021,11,4,1E,ทวีปแอฟริกา,0.0,0.0
2021-11,2021,11,4,1D,ทวีปอเมริกาใต้,0.0,0.0
2021-12,2021,12,4,1A,ทวีปเอเชีย,224321489.0,280374.0
2021-12,2021,12,4,1C,ทวีปอเมริกาเหนือ,10893130.0,24398.0
2021-12,2021,12,4,1B,ทวีปยุโรป,10876472.0,27838.0
2021-12,2021,12,4,1F,ทวีปออสเตรเลีย,5099975.0,5508.0
2021-12,2021,12,4,1E,ทวีปแอฟริกา,0.0,0.0
2021-12,2021,12,4,1D,ทวีปอเมริกาใต้,0.0,0.0
2022-01,2022,1,1,1A,ทวีปเอเชีย,145003923.0,179233.0
2022-01,2022,1,1,1C,ทวีปอเมริกาเหนือ,15392792.0,28285.0
2022-01,2022,1,1,1B,ทวีปยุโรป,4786975.0,36456.0
2022-01,2022,1,1,1F,ทวีปออสเตรเลีย,3089825.0,3209.0
2022-02,2022,2,1,1A,ทวีปเอเชีย,223784761.0,263070.0
2022-02,2022,2,1,1C,ทวีปอเมริกาเหนือ,13460281.0,27495.0
2022-02,2022,2,1,1B,ทวีปยุโรป,6976278.0,39099.0
2022-02,2022,2,1,1F,ทวีปออสเตรเลีย,668283.0,765.0
2022-03,2022,3,1,1A,ทวีปเอเชีย,181161079.0,244642.0
2022-03,2022,3,1,1C,ทวีปอเมริกาเหนือ,15006738.0,28621.0
2022-03,2022,3,1,1B,ทวีปยุโรป,3808322.0,36025.0
2022-03,2022,3,1,1F,ทวีปออสเตรเลีย,6348103.0,6719.0
2022-03,2022,3,1,1E,ทวีปแอฟริกา,48571.0,16.0
2022-04,2022,4,2,1A,ทวีปเอเชีย,164246947.0,194368.0
2022-04,2022,4,2,1C,ทวีปอเมริกาเหนือ,28143401.0,41540.0
2022-04,2022,4,2,1B,ทวีปยุโรป,5254585.0,68110.0
2022-04,2022,4,2,1F,ทวีปออสเตรเลีย,37243.0,42.0
2022-04,2022,4,2,1E,ทวีปแอฟริกา,0.0,0.0
